relation_type,label,definition,source_types,target_types,direction,projection,analytics_policy,status
person_performs_practice,人物实践修行,原文证据支持“人物实践修行”这一语义关系。,BuddhistFigure;Person,Concept;DoctrineTerm;PracticeActivity;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_plans_institution,人物筹划机构,原文证据支持“人物筹划机构”这一语义关系。,BuddhistFigure;Person,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_prays_to_figure,人物祈请佛教人物,原文证据支持“人物祈请佛教人物”这一语义关系。,Person,BuddhistFigure,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_proclaims_classic,人物宣说经典,source人物被原文明示宣說、說出或開演target經典文本；方向由宣說者指向所宣說經典，不等同於引用、解釋、撰寫、翻譯、講授既成文本或僅在經典中被記載。,BuddhistFigure;Person,Classic,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_promotes_practice,人物推广实践,原文证据支持“人物推广实践”这一语义关系。,BuddhistFigure;Person,Concept;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_propagates_doctrine,人物传播教义,原文证据支持“人物传播教义”这一语义关系。,BuddhistFigure;Person,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_reborn_in_realm,人物转世于境界,人物或佛教人物被原文明確表述為在圓寂或死亡後轉世、再生或乘願再來於某一世界或境界；不包括到訪、居住、弘法地點或尚未實現的發願。,BuddhistFigure;Person,PlaceRealm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_receives_precept,人物受戒,source人物被原文明示已受、領受或完成以target戒律為內容的受戒或授戒儀式；方向由受戒人物指向所受戒律，不等同於制定戒律、研究戒律、信奉教義或一般修行。,BuddhistFigure;Person,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_rejects_doctrine_or_ideology,人物拒斥教义或思想体系,人物或佛教人物被原文明確表述為拒絕、反對、抵制或不接受某一教義、思想體系或宗教傳統；不包括單純未信奉、一般評論或被他人批判。,BuddhistFigure;Person,Concept;DoctrineTerm;SchoolTradition,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_same_as_person,人物同一指称,原文证据支持“人物同一指称”这一语义关系。,Person,Person,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_supports_institution,人物支持机构,source Person 或 BuddhistFigure 被原文明確表述為以資金、所得、物資、勞務或持續護持支持 target Institution 的創辦、開支、運作或發展；方向由支持者指向受支持機構，不等同於領導、任職、一般參加、接受機構服務或與機構僅有稱謂共現。,BuddhistFigure;Person,Institution,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
person_suppresses_doctrine,人物压制教义,原文证据支持“人物压制教义”这一语义关系。,Person,DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_teaches_audience,人物教导受众,原文证据支持“人物教导受众”这一语义关系。,BuddhistFigure;Person,BuddhistFigure;DoctrineTerm;Group;Person;RoleTitle,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_teaches_doctrine,人物讲授教义,原文证据支持“人物讲授教义”这一语义关系。,BuddhistFigure;Person,Concept;DoctrineTerm;PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_translates_doctrine,人物翻译经典或教义文献,source 人物被原文明示为翻译、译出或完成翻译 target 经典、论著、作品或教义文献；不包括讲解、引用、撰写或仅参与译场。,BuddhistFigure;Person,Classic;DoctrineTerm;Work,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_transmits_to_person,人物传法于人物,source 在文本中明确向 target 传法、付法、授法、印可、付嘱法脉、传授衣钵或使其成为法嗣。本关系描述高强度法脉/教法传递，不等同于一般说法、开示、授记、付嘱大众或文本传承。,BuddhistFigure;Person,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
person_uses_name,人物使用笔名或自用名称,人物或佛教人物被原文明確表述為以某一名稱作為筆名、署名、號或其他自用名稱；不等同於作品作者、概念別稱、機構更名或僅因同名而判定人物同一。,BuddhistFigure;Person,NamePhrase,directed,evidence_graph,never_centrality_eligible,stage264i_new_relation_candidate
person_visits_place,人物访问地点,原文证据支持“人物访问地点”这一语义关系。,Person,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
planned_activity_at_place,计划活动发生于地点,原文证据支持“计划活动发生于地点”这一语义关系。,PracticeActivity,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
planned_doctrine_transmission_to_place,计划传播教义至地点,原文证据支持“计划传播教义至地点”这一语义关系。,DoctrineTerm,PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_aims_at_doctrinal_state,实践趋向教义境界,修持或实践活动以某一教义状态、精神目标或境界为明确目标。,DoctrineTerm;PracticeActivity,Concept;DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_aims_at_realm,实践趋向宗教境界,原文证据支持“实践趋向宗教境界”这一语义关系。,DoctrineTerm;PracticeActivity,DoctrineTerm;PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_cultivates_doctrine,实践培育教义品质,修持或实践活动明确培养、增长或落实某一教义品质。,PracticeActivity,DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_directed_to,实践指向对象,原文明示某一实践以目标概念教义或境界为对象,PracticeActivity,Concept;DoctrineTerm;PlaceRealm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_equivalent_to,实践在语境中等同,原文证据支持“实践在语境中等同”这一语义关系。,PracticeActivity,PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_has_benefit,实践产生利益或功德,原文证据支持“实践产生利益或功德”这一语义关系。,PracticeActivity,DefinitionPhrase;DoctrineTerm;Concept,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_has_component,实践包含组成环节,target 是 source 所代表的修持、仪式、弘法或实践活动中的步骤、对象、方法、工具、文本对象或子实践。它描述实践内部结构，不等同于机构举办活动、课程表项目、文本目录、实践结果或教义原则。,DoctrineTerm;PracticeActivity,Classic;Concept;DefinitionPhrase;DoctrineTerm;PracticeActivity;PracticeComponentPhrase;RitualObject;Work,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_honors_entity,实践礼敬或赞叹对象,source 礼敬、礼拜、赞叹或供奉等实践或表达被原文明示以 target 人物、佛教人物或仪式物为对象；方向为实践指向受礼敬或赞叹对象，不等同于实施该实践的人物。,PracticeActivity,BuddhistFigure;Person;RitualObject;Group,directed,stable_entity_graph,eligible_after_stage263i_gate,registered_stage263i_pilot_validated_relation
practice_promoted_to_group,實踐向群體推廣,某项修持或实践被明确向特定群体推广。,PracticeActivity,Group,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
practice_reduces_affliction,实践对治烦恼,修持或实践被明确表述为减轻、消除烦恼或相关障碍。,PracticeActivity,DoctrineTerm,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
recitation_directed_to_figure,称念实践指向佛教人物,稱名、念誦或呼喚實踐被原文明確表述為以某一人物或佛教人物為所稱念對象；不預設禮敬、祈求、見面或該人物執行實踐。,PracticeActivity,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
religious_commemoration_uses_ritual_object,宗教纪念日使用仪式物,宗教节日或纪念日被原文明示通过制作、分送、供奉或使用某一仪式物的习俗加以纪念；不包括普通日期共现或物品分送对象。,Concept;DoctrineTerm,RitualObject,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
returns_to_origin_or_continues_spirit,回归源头或延续精神,source 在文本中被明确表述为回归、寻回、承继、延续、传承、契合或相应于 target 所代表的源头、本怀、经典传统、佛陀精神、宗派精神或根本教法。它强调思想连续性与正统性来源，不等同于一般相关、定义、师承传法、文本出处或普通相应。,BuddhistFigure;Concept;DoctrineTerm;HumanisticFramePhrase;Institution;PracticeActivity;SchoolTradition,BuddhistFigure;Classic;Concept;ContinuityPhrase;DoctrineTerm;SchoolTradition,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
ritual_object_distributed_to_group,仪式物分送给群体,仪式物、供物或节庆食品被原文明示送交、分发或提供给特定群体；不等同于活动服务群体、普通共现或未发生的赠与。,RitualObject,Group,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
ritual_object_enshrined_at_place,仪式物供奉于地点或境界,source RitualObject被原文明確表述為長期供奉、安奉或安置於target PlaceRealm；方向由儀式物指向其供奉地或宗教境界，不包括僅被運送至該地、臨時展示、機構供奉主體或一般地點共現。,RitualObject,PlaceRealm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
ritual_object_transferred_to_place,仪式物传播或移送至地点,source RitualObject 被原文明確運送、迎請、流傳、遷移或傳入 target PlaceRealm；方向由儀式物指向到達地，不包括僅在該地被提及或尚未實現的計畫。,RitualObject,PlaceRealm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
school_founds_institution,宗派创设机构,原文证据支持“宗派创设机构”这一语义关系。,SchoolTradition,Institution,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
school_has_founder_or_ancestor,宗派具有创始人或祖师,target 在文本中被明确称为 source 宗派、学派、法脉或传统的初祖、祖师、宗祖、开祖、创始者、创立者或关键祖师。本关系描述宗派与具体祖师人物的关系，不等同于机构开山、泛称祖师清单、宗派立场或人物传法链。,SchoolTradition,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
school_has_subtradition,宗派包含支派,上位宗派被原文明確表述為包含、分化形成、統攝或下分某一穩定支派、分宗或子傳統；不包括同級宗派並列、人物師承或機構分支。,SchoolTradition,SchoolTradition,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
school_promotes_practice,宗派倡导实践,原文证据支持“宗派倡导实践”这一语义关系。,SchoolTradition,PracticeActivity,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
school_teaches_doctrine,宗派主张教义,source 宗派、学派或思想传统在文本中明确主张、提倡、修持、阐扬、所依、以之为宗或以之为主要经典/教义对象 target。本关系描述宗派教义结构，不等同于人物讲经、宗派比较、历史发展或文本清单共现。,SchoolTradition,Classic;Concept;DefinitionPhrase;DoctrineTerm;PracticeActivity;SchoolDoctrinePhrase,directed,stable_entity_graph,eligible_after_quality_gate,active_registered_relation
serves_as_means_to_doctrinal_goal,作为达成教义目标的手段,概念、教義或實踐被原文明確表述為實現另一概念、教義狀態或宗教境界的方便、路徑或手段；不等同於邏輯蘊含、概念等同、規範次第或相互助成。,Concept;DoctrineTerm;PracticeActivity,Concept;DoctrineTerm;PlaceRealm,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
work_collection_contains_work,作品集合或文本类别包含作品,具名作品集合或明確文本類別被原文表述為包含某一具名作品或經典成員；不包括篇章隸屬、書名並列、內容分析或人物關係。,Classic,Classic;Work,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
work_presented_to_person,作品呈送人物,作品、經典或報告被原文明確表述為呈送、上呈或提交給某人物閱讀、審閱或參考；不包括作品記載人物、人物創作作品、人物引用作品或題名共現。,Classic;Work,BuddhistFigure;Person,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
work_published_in_publication,作品发表于出版物,source Work或Classic被原文明確說明發表、刊載、連載或出版於target Classic所代表的報紙、期刊、雜誌或其他出版物；方向由作品指向刊載出版物，不等同於作者關係、出版機構運營、作品引用或僅有書目共現。,Classic;Work,Classic;Work,directed,stable_entity_graph,eligible_after_stage264i_gate,stage264i_new_relation_candidate
